date,precip_mm,temp_c,snowmelt_mm
2018-07-11,0.023899982021249645,22.834076054866177,2.2087361664306254e-06
2018-07-12,14.364188422914316,20.332069540095105,3.0766874057876132e-06
2018-07-13,4.48295314036852,21.308909978982506,1.2529003245948143e-06
2018-07-14,2.386310709648662,22.17823027505851,2.468758378723347e-06
2018-07-15,0.03498756738605269,22.631430326692254,1.0095834499633577e-06
2018-07-16,0.8388799799308964,23.05669561874383,2.942318385468749e-06
2018-07-17,0.7080795379553063,23.45989545181405,2.019893218955465e-06
2018-07-18,21.033809257195134,22.835258851745834,2.16660966276309e-06
2018-07-19,1.9244777990332789,23.108175273321862,1.743891988030231e-06
2018-07-20,0.9002068430341681,21.59963151727606,2.251588989126912e-06
2018-07-21,15.937140946721538,21.540453718704466,1.4214063392649575e-06
2018-07-22,0.10214740881612636,25.54573158429772,3.725290298461914e-06
2018-07-23,0.004597463944617621,24.458914993671925,9.44214737375802e-08
2018-07-24,31.07075127319057,21.04501299593755,2.945949980612502e-06
2018-07-25,0.3763770690133183,20.202094625600854,2.4288108321420625e-06
2018-07-26,0.0021333234485609864,21.898060470167557,6.406133833580442e-07
2018-07-27,0.000852346317969932,24.288960758699385,2.030788004386725e-06
2018-07-28,0.8074645827222756,25.60653186457709,2.8929286915137067e-06
2018-07-29,22.197023781908864,20.207557924850413,1.1504893415409775e-06
2018-07-30,0.0007675332757180421,22.347969724997668,1.3248059084411255e-06
2018-07-31,1.1627646833811855,21.21423955441236,2.0729145080542607e-06
2018-08-01,0.0004261732051702438,21.35296889382158,2.7091699772398014e-07
2018-08-02,0.006286333024838847,22.345974807902916,0.0
2018-08-03,2.7571265955221143,16.477693828414946,0.0
2018-08-04,0.013033292358161924,18.597814312217988,0.0
2018-08-05,0.020664203405829373,20.262420945921544,0.0
2018-08-06,0.002348163785308831,21.564823495685523,1.0117624070496096e-06
2018-08-07,0.22369125175241114,22.300596996874393,1.3073742517511103e-06
2018-08-08,3.673307716907858,22.168809559852416,2.160072791504335e-06
2018-08-09,28.620472815934395,19.35340472961595,2.66123292134226e-06
2018-08-10,0.33901304988559866,19.561816984317844,8.788460247882466e-07
2018-08-11,0.0004263533358420878,17.8514459200055,1.2874004784604683e-06
2018-08-12,0.0025993665794125775,20.63069617262191,4.5540203102663683e-07
2018-08-13,0.9036106281175905,20.51729806054754,3.3069305379015605e-06
2018-08-14,1.6850264629301541,19.61571549065842,1.329163822613629e-07
2018-08-15,0.003460067569730313,18.527960567309524,1.2877636379748438e-06
2018-08-16,0.000859236536143726,19.24426535838623,4.1690712250285417e-07
2018-08-17,4.200881950660763,18.49072953924116,2.187309755082483e-06
2018-08-18,1.4190910601109539,18.572397302290547,1.33606385338676e-06
2018-08-19,3.903137752014566,18.841877172753605,1.7406235524008537e-06
2018-08-20,14.598886359851246,17.580289301057565,6.860083226549578e-07
2018-08-21,30.056339140128927,17.234033866798555,2.5235954653940184e-06
2018-08-22,0.8688871751399648,18.562333068332016,1.6589126616664089e-06
2018-08-23,0.0,20.181816593387616,9.122567001107751e-07
2018-08-24,0.0,21.00885651419178,5.520024618504689e-07
2018-08-25,0.004384927429820995,20.20102772912593,1.2826794047735895e-06
2018-08-26,1.2521969014205965,20.485681823206892,2.0198932189554655e-06
2018-08-27,3.440555441470194,20.028576080129916,1.705397079506448e-06
2018-08-28,3.834488313796293,19.924353782895302,2.205104571286873e-06
2018-08-29,1.2345403694271186,17.831751910208627,1.6531021094364041e-06
2018-08-30,0.0,18.44856101229635,2.1281147542393075e-06
2018-08-31,0.0017046926927832828,18.103944115834924,6.711187825655701e-07
2018-09-01,0.0025704430299811065,19.054793371125097,3.442752196277925e-07
