date,precip_mm,temp_c,snowmelt_mm
2019-05-31,0.6923551186604702,13.382410598850873,0.0
2019-06-01,1.3143036082066337,15.072399268960076,0.0
2019-06-02,0.40165064633893327,14.455123113064992,0.0
2019-06-03,0.0008100327406034554,17.16112404006728,5.121019008667322e-07
2019-06-04,0.004026839996605229,18.83825850748097,1.7471711911923804e-07
2019-06-05,1.0513705063380323,19.725319133528934,5.121019008667322e-07
2019-06-06,1.2717383845394232,18.655929231258114,2.567538353953401e-06
2019-06-07,0.08428924934421204,19.263134162745196,3.805620008401794e-07
2019-06-08,0.16362119636766995,21.19700355358418,6.868190199859703e-07
2019-06-09,0.5001979455743906,20.50401113155398,0.0
2019-06-10,0.47048652418911885,21.901081126676658,8.28400133755008e-07
2019-06-11,1.25490405425964,19.159299244156664,-8.28400133755008e-07
2019-06-12,2.952960976932891,21.12082979282817,2.8235893043867672e-06
2019-06-13,20.254858516939894,17.6170805339008,8.083177062700381e-07
2019-06-14,2.73749478090856,11.894525278096596,3.1931059701102124e-07
2019-06-15,0.07721069613457583,15.429159766280351,2.560509504333661e-07
2019-06-16,8.351983214322956,17.334979995563046,0.0
2019-06-17,0.175022842814276,14.478786445542303,1.165784915502502e-06
2019-06-18,1.3084503288513163,19.883154913464463,5.904233680581148e-07
2019-06-19,1.3015131704114762,13.585163170950777,2.711127710470935e-07
2019-06-20,0.4703219808391321,16.429264220094666,2.379767656968932e-07
2019-06-21,0.026835806355948556,19.01248867826645,5.753615474443874e-07
2019-06-22,9.438740917935848e-07,20.557131768472562,2.3647058363552045e-06
2019-06-23,0.023840619410618404,23.056170805445284,1.0995129048021015e-06
2019-06-24,11.241042994817024,23.619525293862644,3.725290298461914e-06
2019-06-25,11.286218195258648,17.448317802819943,0.0
2019-06-26,13.773933346220105,15.267657519372253,1.5152191537409783e-06
2019-06-27,15.350824453920689,12.07994822753196,6.627201070040065e-07
2019-06-28,0.028242106541957718,17.140530467826004,6.366129512735454e-07
2019-06-29,0.23915466379253492,16.200905930963838,1.0392656223471918e-06
2019-06-30,0.07185425852393666,20.148371271988577,0.0
2019-07-01,1.2853881459218393,21.75088318707383,1.3826751323401768e-06
2019-07-02,12.946813342706212,17.27892688192557,7.16942661213425e-07
2019-07-03,0.9954405923416673,18.48538638420827,1.242098139945388e-06
2019-07-04,0.8971489985998108,21.67223218384889,0.0
2019-07-05,8.260738170831106,18.009899824884513,2.3205244958882717e-06
2019-07-06,3.7203694618961527,19.404170103664377,5.753615474443874e-07
2019-07-07,0.07045694348033489,23.201156455123115,3.3095840495230383e-06
2019-07-08,1.0342068628802132,24.95516460381003,2.54846004784268e-06
2019-07-09,0.17757840715152576,25.64518945047907,1.6859197873632223e-06
2019-07-10,0.9830157583321867,24.867319673947808,3.1850729991162246e-06
2019-07-11,10.047925201539671,22.58254737476992,1.2902959659093155e-06
2019-07-12,0.05704283382743781,22.493326579228487,2.2542524851878703e-06
2019-07-13,0.11016157759489077,23.409960014843683,1.709014578970938e-06
2019-07-14,7.155929694594887,22.359819339227833,2.197017566855706e-06
2019-07-15,2.8723072732555264,22.427757971284656,1.528272731606209e-06
2019-07-16,12.7296395017338,20.95521734259951,2.9290220486828587e-06
2019-07-17,1.7045365574795377,20.02091551555352,7.96268249779056e-07
2019-07-18,1.6411309173164987,21.31796599848254,2.9290220486828587e-06
2019-07-19,0.40856402590343294,25.22672009189604,7.96268249779056e-07
2019-07-20,4.553671498401972,25.88019127652977,3.5806968205701317e-06
2019-07-21,36.900805615660516,24.665791071628764,1.6598126316327617e-06
2019-07-22,1.5082592993041326,22.956572499236678,1.7943648957820595e-06
2019-07-23,10.710738261813287,20.20695766507243,1.9309254026798554e-06
2019-07-24,35.84154632922202,16.94633939628227,1.0392656223471918e-06
2019-07-25,1.0280397461846311,16.63170115187272,6.687448352494974e-07
2019-07-26,0.6939036826881761,18.372587944640863,6.607118642555094e-07
2019-07-27,0.17201128272891197,21.586173615022943,2.684016433366226e-06
2019-07-28,10.067093878422146,20.314933892016168,1.2029374063496962e-06
2019-07-29,0.7454396739896859,22.61436266046547,9.860471895120216e-07
2019-07-30,12.56160660162177,21.723051639087355,2.9952940593832596e-06
2019-07-31,12.851458912175355,21.602668791682706,1.1276283032810594e-06
2019-08-01,0.08977859488395845,21.35234129838012,2.6127238157945826e-06
2019-08-02,0.08515781468924828,22.975456317651442,0.0
2019-08-03,6.934305109746376,23.05642177825135,1.3354814277504977e-06
2019-08-04,0.2559914743161266,24.246727481578166,9.679730047755487e-07
2019-08-05,1.0906193977689234,20.969439315453183,3.335691205253499e-06
2019-08-06,0.8807067520856217,19.438712859517924,0.0
2019-08-07,0.14623652817722863,20.06653475011672,2.672971098249493e-06
2019-08-08,3.492770350038691,20.86028515557825,2.0283251759819592e-07
2019-08-09,2.2465237308156585,16.76206282918132,2.5946496310581105e-06
2019-08-10,3.2663279478136023,18.195169753891257,0.0
2019-08-11,0.43760815925664387,18.368531369177617,0.0
2019-08-12,0.2584522143157411,20.16635393655099,5.572873627079144e-07
2019-08-13,0.06559624494618425,22.050676660803365,3.043491885347187e-06
2019-08-14,0.3071613830697505,21.022442622840273,0.0
2019-08-15,1.642488457282599,20.505059992335262,0.0
2019-08-16,25.633937694790074,16.665962037928796,0.0
2019-08-17,13.61752858139434,14.910100356287955,0.0
2019-08-18,7.015614520828681,13.267108964534483,4.307680695526041e-07
2019-08-19,0.09348811406009602,15.004815906205938,0.0
2019-08-20,2.502072207020505,18.00619691332933,2.6488721852675285e-06
2019-08-21,15.058186382134325,16.790155228428894,3.996403069509009e-06
2019-08-22,6.674345636946171,17.146990385852433,2.6930535257344627e-06
2019-08-23,1.5191612907476202,17.610755246583157,9.07725722320639e-07
2019-08-24,0.9974078742479345,18.167753522929505,7.977744318404291e-07
2019-08-25,0.296869610008037,18.708668259297653,2.1548444691372693e-06
2019-08-26,9.472379975942774,20.42816979852972,1.1748220078707385e-06
2019-08-27,8.677381890429869,17.947604186065785,3.335691205253499e-06
2019-08-28,1.31672599102738,18.621283077229734,3.8959909320841583e-07
2019-08-29,1.6971589056635952,17.885810210441342,2.0122592339939834e-06
2019-08-30,0.0022923194225187384,17.997879688095026,1.029224408604707e-06
2019-08-31,1.5258821286926287,17.364253028876504,2.711127710470935e-07
2019-09-01,0.344887893855915,15.007164970391123,1.8837316980901758e-06
2019-09-02,0.951734819778045,17.01571328984869,2.3797676569689322e-07
2019-09-03,0.42997245197347556,18.235101777631126,1.0643686567034043e-06
2019-09-04,0.0012128862359519518,22.784133046056837,3.866871412230953e-06
2019-09-05,9.810159044101633,21.451668189049656,1.0493068360896767e-06
2019-09-06,0.4992082057106386,20.552938300558633,9.368452421738454e-07
2019-09-07,4.154507028606704,23.026374618790783,2.9481003547935805e-06
2019-09-08,1.9065956662878902,18.54043794582264,1.6055900774233429e-06
